"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6142",-80.78707,28.62756,2022-02-17,2
"A69-9007-6142",-80.78626,28.6223,2022-03-09,16
"A69-9007-6142",-80.78626,28.6223,2022-03-10,37
"A69-9007-6142",-80.78626,28.6223,2022-03-11,17
"A69-9007-6142",-80.78626,28.6223,2022-03-13,1
"A69-9007-6142",-80.78626,28.6223,2022-03-16,72
"A69-9007-6142",-80.78626,28.6223,2022-03-17,46
"A69-9007-6142",-80.78626,28.6223,2022-03-18,11
"A69-9007-6142",-80.78626,28.6223,2022-03-20,8
"A69-9007-6142",-80.78626,28.6223,2022-03-21,1
"A69-9007-6142",-80.78626,28.6223,2022-03-24,1
"A69-9007-6142",-80.78626,28.6223,2022-03-25,7
"A69-9007-6142",-80.78626,28.6223,2022-04-01,9
"A69-9007-6142",-80.78626,28.6223,2022-04-02,29
"A69-9007-6142",-80.78626,28.6223,2022-04-04,4
"A69-9007-6142",-80.78626,28.6223,2022-04-14,4
"A69-9007-6142",-80.78626,28.6223,2022-04-15,1
"A69-9007-6142",-80.78626,28.6223,2022-05-09,3
"A69-9007-6142",-80.78626,28.6223,2022-05-10,2
"A69-9007-6142",-80.78626,28.6223,2022-05-12,18
"A69-9007-6142",-80.78626,28.6223,2022-05-13,24
"A69-9007-6142",-80.78626,28.6223,2022-05-14,8
"A69-9007-6142",-80.78626,28.6223,2022-05-16,26
"A69-9007-6142",-80.78626,28.6223,2022-05-17,19
"A69-9007-6142",-80.78626,28.6223,2022-05-18,8
"A69-9007-6142",-80.78626,28.6223,2022-05-21,2
"A69-9007-6142",-80.78626,28.6223,2022-05-27,2
"A69-9007-6142",-80.78626,28.6223,2022-05-29,7
"A69-9007-6142",-80.78626,28.6223,2022-06-01,4
"A69-9007-6142",-80.78626,28.6223,2022-06-02,12
"A69-9007-6142",-80.78626,28.6223,2022-06-03,48
"A69-9007-6142",-80.78626,28.6223,2022-06-04,34
"A69-9007-6142",-80.78626,28.6223,2022-06-05,9
"A69-9007-6142",-80.78626,28.6223,2022-06-06,5
"A69-9007-6142",-80.78626,28.6223,2022-06-07,6
"A69-9007-6142",-80.78626,28.6223,2022-06-15,7
"A69-9007-6142",-80.78626,28.6223,2022-06-25,19
"A69-9007-6142",-80.78626,28.6223,2022-07-02,11
"A69-9007-6142",-80.78626,28.6223,2022-07-03,4
"A69-9007-6142",-80.78626,28.6223,2022-07-17,8
"A69-9007-6142",-80.78626,28.6223,2022-07-19,1
"A69-9007-6142",-80.78626,28.6223,2022-07-20,20
"A69-9007-6142",-80.78626,28.6223,2022-07-21,6
"A69-9007-6142",-80.78626,28.6223,2022-07-22,6
"A69-9007-6142",-80.78626,28.6223,2022-07-24,12
"A69-9007-6142",-80.78626,28.6223,2022-07-25,1
"A69-9007-6142",-80.78626,28.6223,2022-07-27,4
"A69-9007-6142",-80.78626,28.6223,2022-12-02,3
"A69-9007-6142",-80.78626,28.6223,2022-12-03,2
"A69-9007-6142",-80.78626,28.6223,2022-12-06,2
"A69-9007-6142",-80.78626,28.6223,2022-12-30,25
"A69-9007-6142",-80.78626,28.6223,2022-12-31,1
"A69-9007-6142",-80.78626,28.6223,2023-01-06,9
"A69-9007-6142",-80.78626,28.6223,2023-01-12,9
"A69-9007-6142",-80.78626,28.6223,2023-01-16,7
"A69-9007-6142",-80.78626,28.6223,2023-02-13,10
"A69-9007-6142",-80.78626,28.6223,2023-02-14,18
"A69-9007-6142",-80.78626,28.6223,2023-02-15,10
"A69-9007-6142",-80.78626,28.6223,2023-02-16,21
"A69-9007-6142",-80.78626,28.6223,2023-03-05,23
"A69-9007-6142",-80.78626,28.6223,2023-03-06,29
"A69-9007-6142",-80.78626,28.6223,2023-03-07,1
"A69-9007-6142",-80.78626,28.6223,2023-03-08,19
"A69-9007-6142",-80.78626,28.6223,2023-03-09,13
"A69-9007-6142",-80.78626,28.6223,2023-03-11,1
"A69-9007-6142",-80.78626,28.6223,2023-03-13,13
"A69-9007-6142",-80.78626,28.6223,2023-03-15,15
"A69-9007-6142",-80.78626,28.6223,2023-03-16,5
"A69-9007-6142",-80.78626,28.6223,2023-05-06,1
"A69-9007-6142",-80.78626,28.6223,2023-06-30,5
